stage,shard_id,start_ts,duration_s,notes
preprocess,-,1761272730.9327497,0.686292,features=31;train=439307;test=146436
shard_construct,-,1761272731.6190422,0.019447,num_shards=147;sizes=[3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 3000; 1307]
encrypt,shard_0,1761272731.6408124,0.008001,rows=3000
save_enc,shard_0,1761272731.6498325,0.001139,3_p2p_storage\shards\shard_0.enc
shamir_split,shard_0,1761272731.6519923,0.000000,n=5;t=3
distribute_shares,shard_0,1761272731.652996,0.002000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_0,1761272731.655991,0.020749,replicated_to=5
encrypt,shard_1,1761272731.6767404,0.005431,rows=3000
save_enc,shard_1,1761272731.682171,0.001825,3_p2p_storage\shards\shard_1.enc
shamir_split,shard_1,1761272731.6850305,0.000000,n=5;t=3
distribute_shares,shard_1,1761272731.6850305,0.004423,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_1,1761272731.6894531,0.020772,replicated_to=5
encrypt,shard_2,1761272731.7102246,0.000000,rows=3000
save_enc,shard_2,1761272731.7102246,0.005036,3_p2p_storage\shards\shard_2.enc
shamir_split,shard_2,1761272731.715572,0.000000,n=5;t=3
distribute_shares,shard_2,1761272731.715572,0.003309,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_2,1761272731.7197917,0.018148,replicated_to=5
encrypt,shard_3,1761272731.73794,0.000000,rows=3000
save_enc,shard_3,1761272731.73794,0.000000,3_p2p_storage\shards\shard_3.enc
shamir_split,shard_3,1761272731.73794,0.000000,n=5;t=3
distribute_shares,shard_3,1761272731.73794,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_3,1761272731.745989,0.017468,replicated_to=5
encrypt,shard_4,1761272731.76468,0.002012,rows=3000
save_enc,shard_4,1761272731.7675076,0.000000,3_p2p_storage\shards\shard_4.enc
shamir_split,shard_4,1761272731.7675076,0.000000,n=5;t=3
distribute_shares,shard_4,1761272731.7675076,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_4,1761272731.7675076,0.022386,replicated_to=5
encrypt,shard_5,1761272731.7898932,0.001312,rows=3000
save_enc,shard_5,1761272731.7912047,0.000000,3_p2p_storage\shards\shard_5.enc
shamir_split,shard_5,1761272731.7912047,0.000000,n=5;t=3
distribute_shares,shard_5,1761272731.7912047,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_5,1761272731.7912047,0.021249,replicated_to=5
encrypt,shard_6,1761272731.812454,0.001177,rows=3000
save_enc,shard_6,1761272731.8136313,0.002018,3_p2p_storage\shards\shard_6.enc
shamir_split,shard_6,1761272731.8156495,0.001135,n=5;t=3
distribute_shares,shard_6,1761272731.817302,0.001340,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_6,1761272731.8186417,0.015849,replicated_to=5
encrypt,shard_7,1761272731.83574,0.001094,rows=3000
save_enc,shard_7,1761272731.837835,0.000999,3_p2p_storage\shards\shard_7.enc
shamir_split,shard_7,1761272731.8388343,0.000706,n=5;t=3
distribute_shares,shard_7,1761272731.8395402,0.001759,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_7,1761272731.8412993,0.016925,replicated_to=5
encrypt,shard_8,1761272731.8582242,0.000000,rows=3000
save_enc,shard_8,1761272731.8582242,0.000000,3_p2p_storage\shards\shard_8.enc
shamir_split,shard_8,1761272731.8582242,0.000000,n=5;t=3
distribute_shares,shard_8,1761272731.8582242,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_8,1761272731.8582242,0.022253,replicated_to=5
encrypt,shard_9,1761272731.8804767,0.003119,rows=3000
save_enc,shard_9,1761272731.8846512,0.001495,3_p2p_storage\shards\shard_9.enc
shamir_split,shard_9,1761272731.8861458,0.001016,n=5;t=3
distribute_shares,shard_9,1761272731.887162,0.001440,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_9,1761272731.8886023,0.016544,replicated_to=5
encrypt,shard_10,1761272731.9051464,0.002621,rows=3000
save_enc,shard_10,1761272731.9077678,0.000000,3_p2p_storage\shards\shard_10.enc
shamir_split,shard_10,1761272731.9077678,0.000000,n=5;t=3
distribute_shares,shard_10,1761272731.9077678,0.003158,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_10,1761272731.9109259,0.017839,replicated_to=5
encrypt,shard_11,1761272731.9300544,0.001400,rows=3000
save_enc,shard_11,1761272731.931454,0.001079,3_p2p_storage\shards\shard_11.enc
shamir_split,shard_11,1761272731.933572,0.000000,n=5;t=3
distribute_shares,shard_11,1761272731.9341736,0.001335,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_11,1761272731.935509,0.017725,replicated_to=5
encrypt,shard_12,1761272731.9532337,0.002256,rows=3000
save_enc,shard_12,1761272731.9564886,0.000000,3_p2p_storage\shards\shard_12.enc
shamir_split,shard_12,1761272731.9564886,0.001539,n=5;t=3
distribute_shares,shard_12,1761272731.9580274,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_12,1761272731.9580274,0.025652,replicated_to=5
encrypt,shard_13,1761272731.9846456,0.001594,rows=3000
save_enc,shard_13,1761272731.98624,0.000000,3_p2p_storage\shards\shard_13.enc
shamir_split,shard_13,1761272731.98624,0.000000,n=5;t=3
distribute_shares,shard_13,1761272731.98624,0.007114,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_13,1761272731.9933538,0.023767,replicated_to=5
encrypt,shard_14,1761272732.018215,0.000000,rows=3000
save_enc,shard_14,1761272732.018215,0.004013,3_p2p_storage\shards\shard_14.enc
shamir_split,shard_14,1761272732.0222278,0.000000,n=5;t=3
distribute_shares,shard_14,1761272732.0222278,0.003567,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_14,1761272732.0257945,0.014021,replicated_to=5
encrypt,shard_15,1761272732.0480502,0.001422,rows=3000
save_enc,shard_15,1761272732.0505466,0.001001,3_p2p_storage\shards\shard_15.enc
shamir_split,shard_15,1761272732.0525453,0.000000,n=5;t=3
distribute_shares,shard_15,1761272732.0525453,0.002367,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_15,1761272732.0560687,0.018276,replicated_to=5
encrypt,shard_16,1761272732.0758464,0.001375,rows=3000
save_enc,shard_16,1761272732.0772214,0.000000,3_p2p_storage\shards\shard_16.enc
shamir_split,shard_16,1761272732.0772214,0.000000,n=5;t=3
distribute_shares,shard_16,1761272732.0772214,0.005562,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_16,1761272732.082783,0.018764,replicated_to=5
encrypt,shard_17,1761272732.1038783,0.001444,rows=3000
save_enc,shard_17,1761272732.1053226,0.000000,3_p2p_storage\shards\shard_17.enc
shamir_split,shard_17,1761272732.108449,0.000000,n=5;t=3
distribute_shares,shard_17,1761272732.108449,0.002395,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_17,1761272732.1108444,0.022059,replicated_to=5
encrypt,shard_18,1761272732.1339312,0.001010,rows=3000
save_enc,shard_18,1761272732.134941,0.000000,3_p2p_storage\shards\shard_18.enc
shamir_split,shard_18,1761272732.134941,0.000000,n=5;t=3
distribute_shares,shard_18,1761272732.134941,0.006438,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_18,1761272732.141379,0.021303,replicated_to=5
encrypt,shard_19,1761272732.164212,0.002040,rows=3000
save_enc,shard_19,1761272732.167275,0.000773,3_p2p_storage\shards\shard_19.enc
shamir_split,shard_19,1761272732.1680484,0.000000,n=5;t=3
distribute_shares,shard_19,1761272732.1680484,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_19,1761272732.1680484,0.025690,replicated_to=5
encrypt,shard_20,1761272732.1953425,0.001234,rows=3000
save_enc,shard_20,1761272732.1965766,0.000000,3_p2p_storage\shards\shard_20.enc
shamir_split,shard_20,1761272732.199391,0.000422,n=5;t=3
